REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,"1999/04/01 00:30",1495.155,44.18,TRADE
SA1,"1999/04/01 01:00",1553.22833,44.18,TRADE
SA1,"1999/04/01 01:30",1466.44,23.59,TRADE
SA1,"1999/04/01 02:00",1368.59167,24.16,TRADE
SA1,"1999/04/01 02:30",1274.135,21.94,TRADE
SA1,"1999/04/01 03:00",1186.83833,19.67,TRADE
SA1,"1999/04/01 03:30",1126.72167,16.57,TRADE
SA1,"1999/04/01 04:00",1100.05667,16.31,TRADE
SA1,"1999/04/01 04:30",1062.545,17.12,TRADE
SA1,"1999/04/01 05:00",1053.58167,16.98,TRADE
SA1,"1999/04/01 05:30",1051.985,19.57,TRADE
SA1,"1999/04/01 06:00",1088.77333,23.91,TRADE
SA1,"1999/04/01 06:30",1124.69333,35.85,TRADE
SA1,"1999/04/01 07:00",1191.01167,30.37,TRADE
SA1,"1999/04/01 07:30",1248.65667,19.76,TRADE
SA1,"1999/04/01 08:00",1330.83167,31.42,TRADE
SA1,"1999/04/01 08:30",1412.26833,61.95,TRADE
SA1,"1999/04/01 09:00",1442.59667,61.95,TRADE
SA1,"1999/04/01 09:30",1451.07333,51.6,TRADE
SA1,"1999/04/01 10:00",1462.525,26.52,TRADE
SA1,"1999/04/01 10:30",1425.64667,18.87,TRADE
SA1,"1999/04/01 11:00",1408.58833,26.6,TRADE
SA1,"1999/04/01 11:30",1419.62333,59.5,TRADE
SA1,"1999/04/01 12:00",1423.47333,59.5,TRADE
SA1,"1999/04/01 12:30",1417.805,59.5,TRADE
SA1,"1999/04/01 13:00",1413.72,59.5,TRADE
SA1,"1999/04/01 13:30",1432.275,61.95,TRADE
SA1,"1999/04/01 14:00",1424.66667,61.95,TRADE
SA1,"1999/04/01 14:30",1403.12667,59.5,TRADE
SA1,"1999/04/01 15:00",1406.195,59.5,TRADE
SA1,"1999/04/01 15:30",1371.715,56.58,TRADE
SA1,"1999/04/01 16:00",1360.545,45.32,TRADE
SA1,"1999/04/01 16:30",1350.135,54.59,TRADE
SA1,"1999/04/01 17:00",1340.33667,54.59,TRADE
SA1,"1999/04/01 17:30",1347.84333,61.95,TRADE
SA1,"1999/04/01 18:00",1371.955,58.62,TRADE
SA1,"1999/04/01 18:30",1392.06333,71.04,TRADE
SA1,"1999/04/01 19:00",1445.005,71.04,TRADE
SA1,"1999/04/01 19:30",1501.83167,71.04,TRADE
SA1,"1999/04/01 20:00",1483.48833,71.04,TRADE
SA1,"1999/04/01 20:30",1449.6,59.5,TRADE
SA1,"1999/04/01 21:00",1417.34167,59.5,TRADE
SA1,"1999/04/01 21:30",1409.895,45.19,TRADE
SA1,"1999/04/01 22:00",1398.08833,45.19,TRADE
SA1,"1999/04/01 22:30",1381.335,54.59,TRADE
SA1,"1999/04/01 23:00",1418.85167,54.59,TRADE
SA1,"1999/04/01 23:30",1408.16667,61.95,TRADE
SA1,"1999/04/02 00:00",1418.85333,61.95,TRADE
SA1,"1999/04/02 00:30",1429.15333,61.95,TRADE
SA1,"1999/04/02 01:00",1476.78833,61.95,TRADE
SA1,"1999/04/02 01:30",1391.06667,35.64,TRADE
SA1,"1999/04/02 02:00",1277.235,31.71,TRADE
SA1,"1999/04/02 02:30",1189.59,27.26,TRADE
SA1,"1999/04/02 03:00",1111.54833,20.89,TRADE
SA1,"1999/04/02 03:30",1051.315,16.02,TRADE
SA1,"1999/04/02 04:00",1020.84333,15.09,TRADE
SA1,"1999/04/02 04:30",990.65167,12.32,TRADE
